,gameId,win,diffLevel,diffKill,diffTower,diffDragon,diffWinrate
2218,4218355511,1,-4,1,0,-1,2.46
2219,4218136330,0,2,0,0,-2,9.52
2220,4218160488,0,-4,-11,-5,-2,-10.41
2221,4217939790,0,-6,-12,-2,-2,4.23
2222,4217522443,0,-7,-7,0,-1,7.52
2223,4217423458,0,0,-4,0,1,3.91
2224,4215916179,0,-5,-9,-2,2,11.6
2225,4215706303,1,5,9,1,2,-11.86
2226,4214831079,1,0,4,0,2,-1.35
2227,4214695984,1,4,0,0,0,-9.19
2228,4214556784,0,0,-4,-1,0,-12.98
2229,4214498110,1,4,5,2,0,-7.45
2230,4232929967,0,1,2,2,0,-10.26
2231,4230268939,1,0,4,-2,1,-15.89
2232,4222973735,1,3,4,2,-2,17.46
2233,4222820689,0,-6,-9,-3,0,14.27
2234,4222705023,0,-3,-5,-1,-1,-2.59
2235,4214050686,0,4,1,-1,0,5.81
2236,4211626924,1,2,2,1,2,-16.35
2237,4211642457,0,-4,-10,-1,-2,-0.73
2238,4211451307,1,4,4,2,1,7.91
2239,4210785002,0,-3,-8,-2,-1,-4.38
2240,4210605461,1,4,3,1,-2,11.59
2241,4210477438,0,0,8,2,0,-7.87
2242,4209318898,1,4,4,1,-2,6.14
2243,4209046862,1,-7,-8,1,0,12.34
2244,4190799477,0,1,3,-2,0,7.85
2245,4190747238,0,-5,-5,-1,-2,-13.9
2246,4190718557,0,2,4,0,-2,-7.1
2247,4179354156,1,-1,0,-2,0,14.78
2248,4171924909,1,11,8,6,2,5.11
2249,4171832192,1,1,4,1,0,-0.17
2250,4165750932,1,1,1,0,0,7.56
2251,4165607629,1,1,3,1,0,-1.22
2252,4165640922,1,5,5,-1,0,17.76
2253,4165554633,1,5,19,0,1,-5.17
2254,4165514756,1,1,-2,0,0,-17.88
2255,4161493778,1,2,6,-1,1,-3.14
2256,4161472099,1,5,14,0,0,-2.96
2257,4154720455,1,0,-1,1,1,4.08
2258,4154515939,1,3,11,1,0,1.8
2259,4154432768,1,-1,-1,-1,0,8.6
2260,4154311785,0,2,6,-1,0,14.86
2261,4154127379,0,-1,-2,0,-2,-8.43
2262,4150750463,0,0,-3,1,-1,-12.65
2263,4144375109,0,-3,-6,-2,-2,5.41
2264,4144284607,0,-3,-3,-2,-1,-5.28
2265,4144264119,0,1,-3,0,-1,11.86
2266,4142458280,1,-2,-6,0,1,-0.01
2267,4141239328,0,-3,-4,-1,-1,5.78
2268,4250036118,0,-2,-2,-1,0,2.46
2269,4250015469,1,7,16,4,0,23.44
2270,4250054124,0,-1,3,0,0,-7.13
2271,4250052727,1,5,13,1,0,15.99
2272,4250012177,0,-4,-8,-2,0,0
2273,4249971829,1,7,18,3,0,-17.84
2274,4242984576,1,2,5,1,2,10.97
2275,4239097002,0,1,1,2,0,-6.85
2276,4238482005,1,4,13,2,2,5.16
2277,4238319684,1,-1,-1,-1,1,0.14
2278,4238313446,0,-6,-12,-2,0,7.21
2279,4238226743,0,-6,-9,-4,-2,2.39
2280,4237401002,1,5,10,2,-1,9.83
2281,4237164833,0,-2,-7,0,-1,1.12
2282,4237119702,1,6,13,4,0,-8.01
2283,4235150851,1,5,8,1,0,3.97
